CATEGORIA,PERFIL,DIA,MES,ANO,IPD,PD,FAMA,ENGAJ,VALENCIA,MOD,RANKING,META,INTERESSE
Person. Nacionais - Tracking',Lula,14,1,2021,  37.10058 ,  4.00000 ,  2.22581 ,  1.58664 ,  2.52799 ,  1.79138 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.53023 
Person. Nacionais - Tracking',João Doria,14,1,2021,  34.56371 ,  4.00000 ,  2.24974 ,  1.25456 ,  2.29621 ,  1.35659 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.88939 
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  33.75376 ,  4.00000 ,  1.94624 ,  1.95479 ,  3.60370 ,  1.82174 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.33479 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  33.43582 ,  4.00000 ,  1.65760 ,  1.58041 ,  2.42598 ,  3.39773 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  31.84372 ,  4.00000 ,  2.06308 ,  1.36201 ,  3.64551 ,  2.29490 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.04046 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  31.59286 ,  4.00000 ,  2.81414 ,  1.05153 ,  3.86044 ,  1.50722 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.23123 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  31.13764 ,  4.00000 ,  2.88901 ,  1.51754 ,  1.52930 ,  1.74314 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.38685 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  29.72397 ,  4.00000 ,  1.86933 ,  1.37466 ,  3.74907 ,  1.97632 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.07811 
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  19.45138 ,  4.00000 ,  1.00000 ,  1.21003 ,  1.00000 ,  2.20576 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.20106 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  19.08872 ,  4.00000 ,  1.65603 ,  1.06505 ,  2.46316 ,  1.14099 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.01123 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  12.38534 ,  4.00000 ,  1.19134 ,  1.00042 ,  1.00000 ,  1.00206 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.07276 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  11.62938 ,  4.00000 ,  1.08860 ,  1.00000 ,  1.00000 ,  1.00000 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.03709 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  81.42401 ,  4.00000 ,  3.63055 ,  4.00000 ,  4.00000 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  46.25362 ,  4.00000 ,  4.00000 ,  2.52084 ,  3.68806 ,  1.54856 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.26488 
Person. Nacionais - Tracking',Lula,14,1,2021,  38.87617 ,  4.00000 ,  2.72487 ,  1.55737 ,  2.50185 ,  1.72107 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.48215 
Person. Nacionais - Tracking',Ciro Gomes,14,1,2021,  34.49312 ,  4.00000 ,  2.01407 ,  2.06510 ,  3.56977 ,  1.80754 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.31767 
Person. Nacionais - Tracking',João Doria,14,1,2021,  33.53754 ,  4.00000 ,  2.26302 ,  1.26143 ,  2.27553 ,  1.32888 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.72133 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  32.86183 ,  4.00000 ,  1.51910 ,  1.60219 ,  2.40514 ,  3.41393 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  32.71334 ,  4.00000 ,  2.20625 ,  1.39678 ,  3.75868 ,  2.21475 ,7,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.04980 
Person. Nacionais - Tracking',Arthur Lira,14,1,2021,  32.11413 ,  4.00000 ,  2.96412 ,  1.05190 ,  3.77542 ,  1.48908 ,8,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.23550 
Person. Nacionais - Tracking',Fernando Haddad,14,1,2021,  28.94639 ,  4.00000 ,  1.83947 ,  1.38015 ,  3.76613 ,  1.83244 ,9,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.08586 
Person. Nacionais - Tracking',Rodrigo Maia,14,1,2021,  27.97105 ,  4.00000 ,  2.76053 ,  1.44122 ,  1.59977 ,  1.31459 ,10,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.38171 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  19.57006 ,  4.00000 ,  1.70890 ,  1.06712 ,  2.44043 ,  1.17739 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.02168 
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  19.39141 ,  4.00000 ,  1.00000 ,  1.21654 ,  1.00000 ,  2.21303 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.17713 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  16.48716 ,  4.00000 ,  1.12978 ,  1.05320 ,  2.62014 ,  1.01436 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.10309 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  13.21533 ,  4.00000 ,  1.38320 ,  1.00000 ,  1.00000 ,  1.00000 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.04244 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  83.37521 ,  4.00000 ,  4.00000 ,  4.00000 ,  4.00000 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  45.42412 ,  4.00000 ,  3.66415 ,  2.84399 ,  3.82439 ,  1.29929 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.27230 
